"日付","摘要","摘要内容","支払い金額","預かり金額","差引残高","メモ","未資金化区分","入払区分"
"2025/7/2","口座振替","ＲＴＫ　ペイペイ","10,000","","321,704","","","振替支払い"
"2025/7/3","振込１","ヤマウチ","","13,000","474,704","","","振替入金"
"2025/7/4","口座振替４","セゾン","2,605","","472,099","","","振替支払い"
"2025/7/4","口座振替４","セゾン","103,692","","268,407","","","振替支払い"
"2025/7/5","カードＣ１","セブンギンコウＡＴＭ","10,000","","258,407","","","支払い"
"2025/7/5","手数料","","330","","58,077","","","振替支払い"
"2025/7/6","ＭＩＣＳ","リヨウギンコウ０１３８","7,000","","251,077","","","支払い"
"2025/7/6","手数料","","220","","250,857","","","支払い"
"2025/7/13","振替ＩＢ","ヒラノ","","3,000","288,857","","","振替入金"
"2025/7/14","振込２","マネツクスシヨウケンカフ","","100,000","388,857","","","振替入金"
"2025/7/15","振込２","マネツクスシヨウケンカフ","","48,000","436,857","","","振替入金"
"2025/7/15","口座振替７","ミツビシＵＦＪニコス","39,901","","36,956","","","振替支払い"
"2025/7/19","口座振替","ＲＴＫ　ペイペイ","10,000","","26,956","","","振替支払い"
"2025/7/25","給料","","","530,232","557,188","","","振替入金"
"2025/7/25","振込ＩＢ２","ヒラノ","80,000","","377,188","","","振替支払い"
"2025/7/25","為替手数料","フリコミ　テスウリヨウ","220","","376,968","","","振替支払い"
"2025/7/27","振込１","ＡＧＯＤＡ","","18,422","95,390","","","振替入金"
"2025/7/27","口座振替","ＲＴＫ　ペイペイ","10,000","","385,390","","","振替支払い"
"2025/7/28","口座振替４","ＨＡＮＥＤＡ","3,388","","382,002","","","振替支払い"
"2025/7/28","口座振替４","オリコ","5,600","","76,402","","","振替支払い"
"2025/7/28","口座振替３","ミツイスミトモカ－ド","10,198","","366,204","","","振替支払い"
"2025/7/28","口座振替３","ＤＦ．ペイデイ－","13,700","","352,504","","","振替支払い"
"2025/7/28","口座振替４","ＡＰ（コインチエツク","50,000","","302,504","","","振替支払い"
"2025/7/28","口座振替４","ＡＰ（ツミタテ","115,000","","187,504","","","振替支払い"
"2025/7/31","振込１","ＰＡＹ（カ","","13,022","100,526","","","振替入金"
