"日付","摘要","摘要内容","支払い金額","預かり金額","差引残高","メモ","未資金化区分","入払区分"
"2025/9/4","口座振替４","セゾン","2,037","","225,268","","","振替支払い"
"2025/9/4","口座振替４","セゾン","62,252","","163,016","","","振替支払い"
"2025/9/6","口座振替","ＲＴＫ　ペイペイ","10,000","","153,016","","","振替支払い"
"2025/9/10","口座振替７","ミツビシＵＦＪ","4,705","","148,311","","","振替支払い"
"2025/9/14","口座振替","ＲＴＫ　ペイペイ","10,000","","138,311","","","振替支払い"
"2025/9/20","口座振替","ＲＴＫ　ペイペイ","10,000","","128,311","","","振替支払い"
"2025/9/20","カ－ド","","10,000","","98,311","","","支払い"
"2025/9/20","手数料","","110","","98,201","","","振替支払い"
"2025/9/24","口座振替","ＲＴＫ　ペイペイ","3,000","","95,201","","","振替支払い"
"2025/9/25","給料","","","450,430","645,631","","","振替入金"
"2025/9/26","口座振替３","ミツイスミトモカ－ド","59,854","","585,777","","","振替支払い"
"2025/9/26","振込ＩＢ２","ヒラノ","20,000","","385,777","","","振替支払い"
"2025/9/26","為替手数料","フリコミ　テスウリヨウ","220","","385,557","","","振替支払い"
"2025/9/27","口座振替","ＲＴＫ　ペイペイ","10,000","","375,557","","","振替支払い"
"2025/9/29","口座振替４","ＨＡＮＥＤＡ","3,388","","372,169","","","振替支払い"
"2025/9/29","口座振替４","オリコ","5,600","","66,569","","","振替支払い"
"2025/9/29","口座振替３","ＤＦ．ペイデイ－","13,700","","352,869","","","振替支払い"
"2025/9/29","口座振替４","ＡＰ（コインチエツク","50,000","","302,869","","","振替支払い"
"2025/9/29","口座振替４","ＡＰ（ツミタテ","115,000","","187,869","","","振替支払い"
"2025/9/30","振込１","ＰＡＹ（カ","","13,970","201,839","","","振替入金"
