日付,カテゴリ,サブカテゴリ,金額,収支区分,支払方法,摘要,メモ
2025/08/03,日用品,,13000,支出,UFJ銀行,カードＣ１ セブンギンコウＡＴＭ,
2025/08/03,その他の経費,,330,支出,UFJ銀行,手数料,
2025/08/04,クレジットカード,,4068,支出,UFJ銀行,口座振替４ セゾン,
2025/08/04,クレジットカード,,64111,支出,UFJ銀行,口座振替４ セゾン,
2025/08/12,その他の経費,,10315,支出,UFJ銀行,口座振替７ ミツビシＵＦＪ,
2025/08/16,日用品,,15000,支出,UFJ銀行,カードＣ１ セブンギンコウＡＴＭ,
2025/08/16,その他の経費,,330,支出,UFJ銀行,手数料,
2025/08/18,雑収入,,256,収入,UFJ銀行,利息,
2025/08/25,給与収入,,430232,収入,UFJ銀行,給料,
2025/08/25,雑収入,,180000,支出,UFJ銀行,振込ＩＢ２ ヒラノ,
2025/08/25,その他の経費,,220,支出,UFJ銀行,為替手数料 フリコミ　テスウリヨウ,
2025/08/26,その他の経費,,11339,支出,UFJ銀行,口座振替３ ミツイスミトモカ−ド,
2025/08/27,その他の経費,,3388,支出,UFJ銀行,口座振替４ ＨＡＮＥＤＡ,
2025/08/27,その他の経費,,5600,支出,UFJ銀行,口座振替４ オリコ,
2025/08/27,その他の経費,,13700,支出,UFJ銀行,口座振替３ ＤＦ．ペイデイ−,
2025/08/27,その他の経費,,50000,支出,UFJ銀行,口座振替４ ＡＰ（コインチエツク,
2025/08/27,その他の経費,,115000,支出,UFJ銀行,口座振替４ ＡＰ（マネツクスツミタテ,
2025/08/29,雑収入,,13022,収入,UFJ銀行,振込１ ＰＡＹ（カ,
2025/08/29,日用品,,5000,支出,UFJ銀行,カードＣ１ セブンギンコウＡＴＭ,
2025/08/31,その他の経費,,10000,支出,UFJ銀行,口座振替 ＲＴＫ　ペイペイ,
2025/08/31,日用品,,15000,支出,UFJ銀行,カードＣ１ セブンギンコウＡＴＭ,
2025/08/31,その他の経費,,330,支出,UFJ銀行,手数料,
