日付,カテゴリ,サブカテゴリ,金額,収支区分,支払方法,摘要,メモ
2025/07/02,その他の経費,,10000,支出,UFJ銀行,口座振替 ＲＴＫ　ペイペイ,
2025/07/03,雑収入,,13000,収入,UFJ銀行,振込１ ヤマウチ,
2025/07/04,クレジットカード,,2605,支出,UFJ銀行,口座振替４ セゾン,
2025/07/04,クレジットカード,,103692,支出,UFJ銀行,口座振替４ セゾン,
2025/07/05,日用品,,10000,支出,UFJ銀行,カードＣ１ セブンギンコウＡＴＭ,
2025/07/05,その他の経費,,330,支出,UFJ銀行,手数料,
2025/07/06,その他の経費,,7000,支出,UFJ銀行,ＭＩＣＳ リヨウギンコウ０１３８,
2025/07/06,その他の経費,,220,支出,UFJ銀行,手数料,
2025/07/13,その他の経費,,3000,収入,UFJ銀行,振替ＩＢ ヒラノ,
2025/07/14,雑収入,,100000,収入,UFJ銀行,振込２ マネツクスシヨウケンカフ,
2025/07/15,雑収入,,48000,収入,UFJ銀行,振込２ マネツクスシヨウケンカフ,
2025/07/15,クレジットカード,,39901,支出,UFJ銀行,口座振替７ ミツビシＵＦＪニコス,
2025/07/19,その他の経費,,10000,支出,UFJ銀行,口座振替 ＲＴＫ　ペイペイ,
2025/07/25,給与収入,,530232,収入,UFJ銀行,給料,
2025/07/25,雑収入,,80000,支出,UFJ銀行,振込ＩＢ２ ヒラノ,
2025/07/25,その他の経費,,220,支出,UFJ銀行,為替手数料 フリコミ　テスウリヨウ,
2025/07/27,雑収入,,18422,収入,UFJ銀行,振込１ ＡＧＯＤＡ,
2025/07/27,その他の経費,,10000,支出,UFJ銀行,口座振替 ＲＴＫ　ペイペイ,
2025/07/28,その他の経費,,3388,支出,UFJ銀行,口座振替４ ＨＡＮＥＤＡ,
2025/07/28,その他の経費,,5600,支出,UFJ銀行,口座振替４ オリコ,
2025/07/28,その他の経費,,10198,支出,UFJ銀行,口座振替３ ミツイスミトモカ−ド,
2025/07/28,その他の経費,,13700,支出,UFJ銀行,口座振替３ ＤＦ．ペイデイ−,
2025/07/28,その他の経費,,50000,支出,UFJ銀行,口座振替４ ＡＰ（コインチエツク,
2025/07/28,その他の経費,,115000,支出,UFJ銀行,口座振替４ ＡＰ（ツミタテ,
2025/07/31,雑収入,,13022,収入,UFJ銀行,振込１ ＰＡＹ（カ,
