"日付","摘要","摘要内容","支払い金額","預かり金額","差引残高","メモ","未資金化区分","入払区分"
"2025/8/3","カードＣ１","セブンギンコウＡＴＭ","13,000","","187,526","","","支払い"
"2025/8/3","手数料","","330","","87,196","","","振替支払い"
"2025/8/4","口座振替４","セゾン","4,068","","183,128","","","振替支払い"
"2025/8/4","口座振替４","セゾン","64,111","","119,017","","","振替支払い"
"2025/8/12","口座振替７","ミツビシＵＦＪ","10,315","","108,702","","","振替支払い"
"2025/8/16","カードＣ１","セブンギンコウＡＴＭ","15,000","","93,702","","","支払い"
"2025/8/16","手数料","","330","","93,372","","","振替支払い"
"2025/8/18","利息","","","256","93,628","","","振替入金"
"2025/8/25","給料","","","430,232","423,860","","","振替入金"
"2025/8/25","振込ＩＢ２","ヒラノ","180,000","","443,860","","","振替支払い"
"2025/8/25","為替手数料","フリコミ　テスウリヨウ","220","","43,640","","","振替支払い"
"2025/8/26","口座振替３","ミツイスミトモカ－ド","11,339","","432,301","","","振替支払い"
"2025/8/27","口座振替４","ＨＡＮＥＤＡ","3,388","","28,913","","","振替支払い"
"2025/8/27","口座振替４","オリコ","5,600","","423,313","","","振替支払い"
"2025/8/27","口座振替３","ＤＦ．ペイデイ－","13,700","","409,613","","","振替支払い"
"2025/8/27","口座振替４","ＡＰ（コインチエツク","50,000","","359,613","","","振替支払い"
"2025/8/27","口座振替４","ＡＰ（マネツクスツミタテ","115,000","","244,613","","","振替支払い"
"2025/8/29","振込１","ＰＡＹ（カ","","13,022","257,635","","","振替入金"
"2025/8/29","カードＣ１","セブンギンコウＡＴＭ","5,000","","252,635","","","支払い"
"2025/8/31","口座振替","ＲＴＫ　ペイペイ","10,000","","242,635","","","振替支払い"
"2025/8/31","カードＣ１","セブンギンコウＡＴＭ","15,000","","227,635","","","支払い"
"2025/8/31","手数料","","330","","227,305","","","振替支払い"
