日付,カテゴリ,サブカテゴリ,金額,収支区分,支払方法,摘要,メモ
2025/09/04,クレジットカード,,2037,支出,UFJ銀行,口座振替４ セゾン,
2025/09/04,クレジットカード,,62252,支出,UFJ銀行,口座振替４ セゾン,
2025/09/06,その他の経費,,10000,支出,UFJ銀行,口座振替 ＲＴＫ　ペイペイ,
2025/09/10,その他の経費,,4705,支出,UFJ銀行,口座振替７ ミツビシＵＦＪ,
2025/09/14,その他の経費,,10000,支出,UFJ銀行,口座振替 ＲＴＫ　ペイペイ,
2025/09/20,その他の経費,,10000,支出,UFJ銀行,口座振替 ＲＴＫ　ペイペイ,
2025/09/20,その他の経費,,10000,支出,UFJ銀行,カ−ド,
2025/09/20,その他の経費,,110,支出,UFJ銀行,手数料,
2025/09/24,その他の経費,,3000,支出,UFJ銀行,口座振替 ＲＴＫ　ペイペイ,
2025/09/25,給与収入,,450430,収入,UFJ銀行,給料,
2025/09/26,その他の経費,,59854,支出,UFJ銀行,口座振替３ ミツイスミトモカ−ド,
2025/09/26,雑収入,,20000,支出,UFJ銀行,振込ＩＢ２ ヒラノ,
2025/09/26,その他の経費,,220,支出,UFJ銀行,為替手数料 フリコミ　テスウリヨウ,
2025/09/27,その他の経費,,10000,支出,UFJ銀行,口座振替 ＲＴＫ　ペイペイ,
2025/09/29,その他の経費,,3388,支出,UFJ銀行,口座振替４ ＨＡＮＥＤＡ,
2025/09/29,その他の経費,,5600,支出,UFJ銀行,口座振替４ オリコ,
2025/09/29,その他の経費,,13700,支出,UFJ銀行,口座振替３ ＤＦ．ペイデイ−,
2025/09/29,その他の経費,,50000,支出,UFJ銀行,口座振替４ ＡＰ（コインチエツク,
2025/09/29,その他の経費,,115000,支出,UFJ銀行,口座振替４ ＡＰ（ツミタテ,
2025/09/30,雑収入,,13970,収入,UFJ銀行,振込１ ＰＡＹ（カ,
